feature,coef,odds_ratio,support_share
attire Unknown,1.4673096875964955,4.337550065117192,0.45191917779486823
parking street,0.820029553942322,2.2705669407452236,0.23217506816751732
category: Mexican,0.5819917558331413,1.789599328254722,0.018947074040411103
wifi none,0.5408619902520309,1.7174866810755804,0.0005313570579598686
alcohol none,0.525072985136177,1.690582231250845,0.2924281619240719
category: Other,0.47096269752097086,1.6015352453252414,0.46288191288540864
alcohol beer wine,0.4321751473159437,1.540604924349689,0.08721247290778159
category: American (New),0.42822526094090824,1.5345317120948416,0.017185205900859958
category: Nightlife,0.34751802918436964,1.4155498315935198,0.03203523736279102
outdoor seating,0.29644874669215515,1.3450736187582772,0.31502481996783893
category: Bars,0.2853333308666215,1.3302053527334916,0.027057260714535413
parking validated,0.25703912860675054,1.2930957228034992,0.00862756065161155
category: Food,0.24346644163205503,1.2756635079369796,0.09484723484583654
parking lot,0.22968602241776542,1.2582048997724715,0.4268894637488639
wifi paid,0.22115751879086099,1.2475199229178726,0.00423687338320632
price,0.1311293520856142,1.1401152480593961,0.8207229252604349
category: Restaurants,0.10978101467460195,1.1160336487057425,0.21380130042648396
category: Sandwiches,0.06355597339827126,1.0656191304561888,0.024064881493392993
attire casual,0.06011739797318397,1.0619612113213295,0.5353562189750402
reservations,0.013428168942947577,1.0135187317135754,0.2067538278682794
good for kids,0.005222097757195636,1.0052357566754069,0.5148150737607495
category: Coffee & Tea,-0.0007065086147332998,0.9992937409037123,0.021673774732573585
alcohol Unknown,-0.0015385097120863545,0.9984626731872689,0.39697965461791235
accepts credit cards,-0.032862121973206884,0.9676719710935205,0.8234775921135427
takeout,-0.08516707162128459,0.9183588398834017,0.7289240019576313
wifi no,-0.1482880583475221,0.8621827202380252,0.2637069146332937
category: Italian,-0.18445169703974404,0.8315601057440698,0.016192407187303363
wifi free,-0.1870852364673398,0.829373040544432,0.3461371740194365
parking garage,-0.1897092928766505,0.8271995718011242,0.04021533943927847
attire dressy,-0.27184418743084887,0.761972976808037,0.011214430539047752
category: American (Traditional),-0.3329550955985281,0.7168023810149208,0.022862336572746975
wifi Unknown,-0.432620858359631,0.6488064347143705,0.3853876809061036
delivery,-0.4443672074397959,0.6412299131951439,0.4428581416486052
review count (log1p),-0.46422940966255954,0.6286193265765068,1.0
has tv,-0.5052891509405897,0.6033310964488506,0.47734041809410616
attire none,-0.5083092734067775,0.6015117114156278,0.0005313570579598686
parking valet,-0.5618971497281522,0.5701264220201598,0.01761868139551143
parking any,-0.5933370208699759,0.5524805659997402,0.6166818150038453
category: Pizza,-0.597808737696142,0.5500155449023854,0.028889044256449697
good for groups,-0.6268549616512243,0.5342694594124713,0.533035027616584
attire formal,-0.7532482688635734,0.4708346685084212,0.0009788156330839683
alcohol full bar,-0.9616842668716494,0.38224853495373556,0.22337971055023423
category: Fast Food,-1.4208871092333606,0.24149968524266513,0.01956232958120674
