feature,coef,odds_ratio,support_share
attire Unknown,1.3497423417678138,3.8564317612858776,0.45191917779486823
cuisine: food trucks,0.9608886342558511,2.61401834787108,0.017800461441655598
cuisine: vegan,0.7788229903025672,2.178906161947657,0.01196951688456967
cuisine: cocktail bars,0.7672297613774474,2.1537914655086037,0.02402293225197511
cuisine: latin american,0.7585367974585492,2.1351497771643784,0.011326295182828777
cuisine: cafes,0.7539956172194683,2.125475659769435,0.0385373697825631
cuisine: wine bars,0.6885315827959975,1.9907900754761063,0.01666783192337272
cuisine: gluten-free,0.6437134563241914,1.9035364704267446,0.010864853527232049
cuisine: beer bar,0.6326487511944954,1.882590494896164,0.012165280011186464
cuisine: caterers,0.5966141923604172,1.8159598889642536,0.033139900720128644
cuisine: specialty food,0.5804962088940705,1.7869248988230453,0.05919037964063483
cuisine: hotels & travel,0.5331051877865867,1.704216011673068,0.013493672656086135
cuisine: delis,0.5287979190051518,1.6968912813646362,0.033461511570999095
cuisine: mediterranean,0.509764710484266,1.6648994154796792,0.017660630636929315
wifi infrequent sklearn,0.4590910367410822,1.5826347741367015,
cuisine: desserts,0.4429632897877551,1.557315163922217,0.04455009438579319
state CA,0.4248186189533638,1.5293130061116762,0.025854715793889396
cuisine: comfort food,0.4238387757419363,1.5278152530459086,0.010431378032580577
parking street,0.3733858634373626,1.4526447542022376,0.23217506816751732
alcohol none,0.29407268681572274,1.3418814372109753,0.2924281619240719
cuisine: thai,0.2918072987438415,1.3388449956670465,0.013577571138921905
cuisine: beauty & spas,0.2910788095671094,1.3378700167522928,0.0320212542823184
state NV,0.25266581276626376,1.2874529545930744,0.03680346780395721
cuisine: bakeries,0.24289356668471418,1.2749329215593423,0.04404670348877858
parking validated,0.23434181398370885,1.2640764973941518,0.00862756065161155
cuisine: tacos,0.19441220778512075,1.2145968460568695,0.014262742082080683
cuisine: italian,0.14463865064497572,1.155621911579816,0.06394462700132839
cuisine: food delivery services,0.13706643305835567,1.1469043383524464,0.014682234496259525
cuisine: local flavor,0.12063340250574366,1.1282112371333,0.013046214080962036
cuisine: juice bars & smoothies,0.0893448180688661,1.0934576352782015,0.023547507515905754
outdoor seating,0.08734047478055511,1.0912681657631393,0.31502481996783893
state IL,0.0862528998601984,1.09008197502724,0.017520799832203036
state TN,0.08076507387844856,1.0841161794387317,0.08237432706425225
state MO,0.0558210136893673,1.0574084051687072,0.07854296301475215
state FL,0.05177273787169459,1.05313637730057,0.16785289799342795
alcohol beer wine,0.05056132669817591,1.0518613685617102,0.08721247290778159
price,0.04988918305816377,1.0511546041828563,0.8207229252604349
cuisine: venues & event spaces,0.04915859094439107,1.050386919385061,0.016178424106830736
reservations,0.0296606583827119,1.0301049171685408,0.2067538278682794
cuisine: salad,0.029213800353919215,1.0296447093472432,0.04284415856813256
cuisine: sandwiches,0.023952517944053293,1.024241683635078,0.11698245123400686
good for kids,0.021546702695500512,1.0217805091270613,0.5148150737607495
cuisine: music venues,0.015699274690201968,1.0158231557349364,0.015437320841781444
cuisine: barbeque,0.010230303987358831,1.0102828124536298,0.023687338320632034
cuisine: mexican,0.004370436872251925,1.0043800011597745,0.06432217017408935
wifi free,0.0032724704688029222,1.0032778308459178,0.3461371740194365
cuisine: vietnamese,0.0,1.0,0.011913584562679158
