feature,coef,odds_ratio,support_share
attire Unknown,1.4133485351476338,4.109693843691754,0.45191917779486823
cuisine: food trucks,1.2289646350162637,3.417689148139704,0.017800461441655598
cuisine: latin american,0.9250916466924549,2.5220993918340726,0.011326295182828777
cuisine: cafes,0.9043362983221014,2.4702918420149618,0.0385373697825631
cuisine: vegan,0.860878285646575,2.3652371355446804,0.01196951688456967
cuisine: beer bar,0.7265208839415813,2.067873705503497,0.012165280011186464
cuisine: caterers,0.70457632713669,2.0229894176157166,0.033139900720128644
cuisine: mediterranean,0.6960155386461525,2.0057449515226202,0.017660630636929315
cuisine: gluten-free,0.6823243558484869,1.9784710626807984,0.010864853527232049
cuisine: wine bars,0.6337098296097226,1.8845891312024126,0.01666783192337272
state CA,0.6256093342388419,1.8693846905599725,0.025854715793889396
cuisine: specialty food,0.6181685366165155,1.8555265989649885,0.05919037964063483
cuisine: desserts,0.548187746657811,1.7301147688029863,0.04455009438579319
wifi infrequent sklearn,0.5339910658075914,1.705726408095573,
cuisine: thai,0.47574346119382616,1.6092101381533868,0.013577571138921905
parking street,0.4078012246079727,1.5035082710191043,0.23217506816751732
cuisine: bakeries,0.346740637858967,1.4144498230577087,0.04404670348877858
good for kids,0.2515102780598268,1.2859661172326666,0.5148150737607495
state NV,0.2468574653452985,1.2799966558939975,0.03680346780395721
parking validated,0.22507438542256608,1.2524158742110538,0.00862756065161155
cuisine: vietnamese,0.2208888469316709,1.2471847944426169,0.011913584562679158
cuisine: cocktail bars,0.20783111919391503,1.2310052588328906,0.02402293225197511
cuisine: salad,0.19577633044340909,1.2162548357287974,0.04284415856813256
cuisine: juice bars & smoothies,0.19258053932110455,1.2123741435659148,0.023547507515905754
cuisine: indian,0.17487188488938638,1.19109360974738,0.011717821436062365
cuisine: italian,0.14917274685481433,1.160873509136534,0.06394462700132839
state TN,0.11278605340618596,1.1193924171329164,0.08237432706425225
cuisine: barbeque,0.1118704093720023,1.118367921252607,0.023687338320632034
state FL,0.10564915171750942,1.1114318641323095,0.16785289799342795
attire casual,0.10109117896373208,1.106377515519933,0.5353562189750402
cuisine: sandwiches,0.07548710456028516,1.0784093210659977,0.11698245123400686
outdoor seating,0.07111769127101891,1.0737075844428767,0.31502481996783893
price,0.06473663179004581,1.0668780056295317,0.8207229252604349
state IL,0.05561684277598793,1.0571925351667464,0.017520799832203036
cuisine: vegetarian,0.04504608552044689,1.0460760677578762,0.016192407187303363
cuisine: japanese,0.03244420742016132,1.0329762591258036,0.02558903726490946
cuisine: mexican,0.030755496650125058,1.0312333330550378,0.06432217017408935
cuisine: tacos,0.020564504326825855,1.0207774106793246,0.014262742082080683
wifi no,0.012902126992484445,1.0129857185490474,0.2637069146332937
cuisine: sushi bars,0.008668139510487782,1.0087058166165626,0.02400894917150248
state MO,0.0023705067231615936,1.0023733185956392,0.07854296301475215
cuisine: southern,0.0,1.0,0.013815283506956582
state IN,0.0,1.0,0.0786688107390058
state infrequent sklearn,0.0,1.0,
cuisine: greek,0.0,1.0,0.010892819688177305
cuisine: asian fusion,-0.0013533811729593867,0.9986475342343287,0.021631825491155703
wifi free,-0.010713185540914558,0.9893439962494205,0.3461371740194365
state LA,-0.02863867248770677,0.9717675273816366,0.07275396769908411
cuisine: seafood,-0.02925102729018572,0.9711726430280858,0.04948612179263091
state ID,-0.07057557230315474,0.9318573142612838,0.02641403901279452
takeout,-0.07354274779715748,0.9290964281169549,0.7289240019576313
reservations,-0.08324203102632018,0.9201284206418465,0.2067538278682794
state AZ,-0.08681815957731608,0.9168437997400002,0.05288401034747955
cuisine: american (new),-0.10840525274040101,0.897263904085759,0.08525484164161365
parking lot,-0.1838228063728155,0.8320832306104939,0.4268894637488639
state DE,-0.23458812359136558,0.7908965341773386,0.017087324337551564
state PA,-0.24004467056502307,0.786592722740367,0.2368454170453751
accepts credit cards,-0.2846501068307033,0.7522774250083111,0.8234775921135427
cuisine: coffee & tea,-0.2915088679430579,0.7471353880195153,0.0937285884080263
cuisine: cajun/creole,-0.308339475315344,0.7346658747420479,0.012906383276235755
delivery,-0.33700457877886264,0.7139055710794977,0.4428581416486052
attire dressy,-0.3432199970738387,0.7094821104017099,0.011214430539047752
parking garage,-0.3804243570881817,0.683571269341832,0.04021533943927847
state NJ,-0.40215332044011104,0.6688781851305077,0.06134377403341956
wifi Unknown,-0.41157283176918985,0.6626072603779999,0.3853876809061036
has tv,-0.41541505523720657,0.6600662598839601,0.47734041809410616
cuisine: bagels,-0.4318550676260442,0.6493034749600832,0.010319513388799552
cuisine: ice cream & frozen yogurt,-0.43185553198600185,0.6493031734496191,0.03715304481577292
review count (log1p),-0.5713051344893606,0.5647878333866478,1.0
attire infrequent sklearn,-0.6202543377569893,0.5378076354107495,
cuisine: donuts,-0.6437211173212478,0.5253339531803694,0.015339439278473048
cuisine: pizza,-0.6928967047760025,0.5001252535778106,0.09918198979235125
cuisine: american (traditional),-0.7689073999666861,0.463519232872444,0.11380829196672027
good for groups,-0.7997796655735786,0.44942797766445086,0.533035027616584
cuisine: chicken wings,-0.816204152321024,0.44210664296887153,0.041473816681815004
cuisine: burgers,-0.8384808734760756,0.43236684472720566,0.07880864154373209
cuisine: tex-mex,-0.851724134364563,0.4266786460868975,0.012850450954345243
cuisine: steakhouses,-0.8970965113289341,0.4077518455426871,0.02105851919177795
parking valet,-0.9221456339984172,0.39766488176527864,0.01761868139551143
state AB,-1.1358277912197157,0.32115616101952227,0.04496958679997203
cuisine: chinese,-1.4073934889519812,0.24478047538181594,0.044312382017758514
