threshold,TP,FP,TN,FN,precision,recall,f1,accuracy
0.01,934,16678,267,0,0.05303202362025891,1.0,0.10072252776879112,0.06717377929414396
0.02,934,16086,859,0,0.05487661574618096,1.0,0.10404366714938175,0.10028525085295598
0.03,933,15392,1553,1,0.05715160796324655,0.9989293361884368,0.10811750391100296,0.13904580793109234
0.04,932,14708,2237,2,0.05959079283887468,0.9978586723768736,0.1124653071075178,0.1772470496112758
0.05,931,14041,2904,3,0.06218274111675127,0.9967880085653105,0.11706274361876022,0.2144974551149393
0.060000000000000005,930,13412,3533,4,0.06484451262027612,0.9957173447537473,0.12175962293794187,0.24962246210638178
0.06999999999999999,929,12864,4081,5,0.0673530051475386,0.9946466809421841,0.12616283017586746,0.2802170143744057
0.08,928,12341,4604,6,0.0699374481875047,0.9935760171306209,0.1306766176159966,0.3094132781475474
0.09,924,11914,5031,10,0.07197382769901854,0.9892933618843683,0.134185303514377,0.33307231948095534
0.09999999999999999,920,11505,5440,14,0.07404426559356136,0.9850107066381156,0.13773486039374205,0.355724593098048
0.11,917,11153,5792,17,0.075973487986744,0.9817987152034261,0.1410335281451861,0.3752447004866044
0.12,917,10832,6113,17,0.07804919567622777,0.9817987152034261,0.14460301190570055,0.3931987247608927
0.13,915,10555,6390,19,0.07977332170880558,0.9796573875802997,0.1475330538535956,0.40857989820459756
0.14,913,10295,6650,21,0.08145967166309778,0.9775160599571735,0.15038708614725746,0.4230102354717825
0.15000000000000002,910,10051,6894,24,0.08302162211477054,0.974304068522484,0.15300546448087432,0.43648973656244755
0.16,906,9802,7143,28,0.0846096376540904,0.9700214132762313,0.15564336024738018,0.45019296381229373
0.17,902,9577,7368,32,0.08607691573623437,0.9657387580299786,0.15806536405852975,0.462553834107053
0.18000000000000002,901,9341,7604,33,0.08797109939464948,0.9646680942184154,0.16123836793128132,0.47569774595894626
0.19,898,9124,7821,36,0.0896028736779086,0.961456102783726,0.16392844103687476,0.4876670954751384
0.2,895,8943,8002,39,0.09097377515755235,0.9582441113490364,0.1661715558856294,0.49762290955870014
0.21000000000000002,893,8779,8166,41,0.092328370554177,0.9561027837259101,0.16839524797284555,0.5066838190055373
0.22,891,8618,8327,43,0.09370070459564624,0.9539614561027837,0.17064062051134732,0.5155769338329884
0.23,886,8457,8488,48,0.09483035427592851,0.9486081370449678,0.17242385910285102,0.5243022540410538
0.24000000000000002,878,8309,8636,56,0.0955698269293567,0.9400428265524625,0.17350064222902875,0.5321326696123945
0.25,878,8160,8785,56,0.09714538614737774,0.9400428265524625,0.17609306056959487,0.5404664690418928
0.26,875,8022,8923,59,0.0983477576711251,0.936830835117773,0.17800834096226223,0.5480172269142569
0.27,871,7889,9056,63,0.09942922374429224,0.9325481798715204,0.17969878275221787,0.5552323955478494
0.28,867,7745,9200,67,0.10067347886669763,0.9282655246252677,0.1816467630421119,0.5630628111191901
0.29000000000000004,863,7607,9338,71,0.10188902007083825,0.923982869379015,0.18353891960867716,0.570557637451759
0.3,860,7481,9464,74,0.10310514326819326,0.9207708779443254,0.18544474393530996,0.5774372168465798
0.31,851,7357,9588,83,0.10367933723196882,0.911134903640257,0.1861737037847298,0.5838693439230382
0.32,848,7244,9701,86,0.10479485912011864,0.9079229122055674,0.187901617549302,0.5900218133005202
0.33,846,7144,9801,88,0.10588235294117647,0.9057815845824411,0.18960107575078441,0.5955031042004586
0.34,842,7019,9926,92,0.10711105457320952,0.9014989293361885,0.19147242751563387,0.6022708205156888
0.35000000000000003,838,6879,10066,96,0.10859142153686666,0.8972162740899358,0.1937348283435441,0.6098775099278483
0.36000000000000004,836,6764,10181,98,0.11,0.8950749464668094,0.19592219357862667,0.6161977739247162
0.37,831,6635,10310,103,0.11130458076613983,0.8897216274089935,0.19785714285714287,0.6231332848593322
0.38,828,6531,10414,106,0.11251528740317979,0.8865096359743041,0.19968648257566624,0.6287823703786565
0.39,824,6402,10543,110,0.11403265983946859,0.8822269807280514,0.2019607843137255,0.6357738128530679
0.4,822,6303,10642,112,0.11536842105263158,0.880085653104925,0.20399553294453407,0.641199172213211
0.41000000000000003,816,6207,10738,118,0.11618966253737718,0.8736616702355461,0.2051024255372628,0.6462330107947872
0.42000000000000004,812,6107,10838,122,0.1173579997109409,0.8693790149892934,0.20679994906405194,0.6516024386151351
0.43,808,5974,10971,126,0.11913889708050722,0.8650963597430407,0.20943494038361846,0.6588176072487275
0.44,806,5864,11081,128,0.12083958020989505,0.8629550321199143,0.21199368753287742,0.6648582135466189
0.45,801,5739,11206,133,0.12247706422018349,0.8576017130620985,0.21434305592721434,0.6715699983220538
0.46,791,5617,11328,143,0.1234394506866417,0.8468950749464668,0.21547262326341596,0.6778343307791264
0.47000000000000003,789,5502,11443,145,0.12541726275631854,0.8447537473233405,0.2184083044982699,0.6841545947759942
0.48000000000000004,782,5386,11559,152,0.1267833981841764,0.8372591006423983,0.2202196564348071,0.6902511326136809
0.49,779,5256,11689,155,0.12908036454018226,0.8340471092077087,0.22356148658344097,0.6973544381676827
0.5,775,5121,11824,159,0.1314450474898236,0.8297644539614561,0.22693997071742314,0.7046814698808658
0.51,766,4973,11972,168,0.13347273044084335,0.8201284796573876,0.22958189719766223,0.7124559539124112
0.52,761,4851,12094,173,0.1356022808267997,0.8147751605995718,0.23250840207760465,0.7189999440684602
0.53,751,4744,12201,183,0.13666969972702456,0.80406852248394,0.23362886918649867,0.7244253034286033
0.54,735,4615,12330,199,0.13738317757009347,0.7869379014989293,0.23392743475493316,0.7307455674254713
0.55,726,4483,12462,208,0.13937416010750625,0.7773019271948608,0.23636659612567149,0.737625146820292
0.56,716,4355,12590,218,0.14119503056596333,0.7665952890792291,0.23846794338051625,0.7442250685161362
0.5700000000000001,708,4226,12719,226,0.14349412241588974,0.7580299785867237,0.24130879345603273,0.7509927848313664
0.5800000000000001,700,4084,12861,234,0.14632107023411373,0.7494646680942184,0.24484085344526058,0.7584876111639354
0.59,685,3944,13001,249,0.1479801252970404,0.7334047109207709,0.24626999820240877,0.7654790536383467
0.6,677,3816,13129,257,0.15067883374137547,0.7248394004282656,0.24949327436889626,0.7721908384137816
0.61,661,3672,13273,273,0.15255019616893606,0.7077087794432548,0.25099677235618,0.7793500755075787
0.62,652,3523,13422,282,0.15616766467065868,0.6980728051391863,0.2552358582892934,0.7871804910789194
0.63,633,3347,13598,301,0.15904522613065328,0.6777301927194861,0.2576312576312576,0.79596174282678
0.64,618,3203,13742,316,0.16173776498298875,0.6616702355460385,0.2599369085173502,0.8031769114603725
0.65,603,3048,13897,331,0.16516023007395234,0.645610278372591,0.2630316248636859,0.8110073270317132
0.66,587,2904,14041,347,0.1681466628473217,0.6284796573875803,0.26531073446327685,0.8181665641255104
0.67,566,2739,14206,368,0.17125567322239033,0.6059957173447538,0.26704411417787216,0.8262207058560322
0.68,550,2570,14375,384,0.1762820512820513,0.588865096359743,0.2713369511593488,0.8347782314447116
0.6900000000000001,536,2441,14504,398,0.18004702720859925,0.5738758029978587,0.27409869598568143,0.8412103585211701
0.7000000000000001,512,2290,14655,422,0.1827266238401142,0.5481798715203426,0.2740899357601713,0.848313664075172
0.7100000000000001,492,2138,14807,442,0.1870722433460076,0.5267665952890792,0.2760942760942761,0.8556966273281503
